studentId,class
1,11T
2,1Y
3,3K
4,11P
5,9Z
6,6G
7,5D
8,11V
9,1H
10,9M
11,10K
12,8H
13,11M
14,11M
15,7I
16,1X
17,10W
18,11M
19,1O
20,9R
21,4P
22,1U
23,1R
24,1S
25,7E
26,10U
27,5D
28,10T
29,1W
30,7K
31,4P
32,11T
33,12K
34,4F
35,9U
36,12N
37,12N
38,2Y
39,6U
40,7H
41,6D
42,10K
43,3B
44,6D
45,1P
46,12Y
47,5S
48,9O
49,7T
50,5J
51,7Q
52,5O
53,8B
54,9H
55,12N
56,3F
57,4I
58,1C
59,2W
60,3C
61,2J
62,12Z
63,10X
64,3T
65,11L
66,3R
67,2F
68,8M
69,8O
70,3T
71,1I
72,7A
73,11L
74,7K
75,2Y
76,9X
77,8H
78,4U
79,5V
80,8W
81,5G
82,5C
83,6A
84,2N
85,7R
86,5G
87,2B
88,11V
89,11Y
90,10Y
91,12Q
92,6C
93,10X
94,11T
95,8R
96,12C
97,9Y
98,7Q
99,5S
100,5S
101,9V
102,3M
103,5Z
104,6M
105,12A
106,11G
107,1A
108,3A
109,6A
110,7E
111,7O
112,10E
113,2B
114,8X
115,4M
116,8N
117,8D
118,3I
119,7S
120,3D
121,8K
122,8H
123,12U
124,3I
125,2S
126,9E
127,1P
128,8I
129,4N
130,12C
131,9J
132,6A
133,12A
134,1K
135,3X
136,3P
137,2O
138,9B
139,2S
140,4H
141,7B
142,7W
143,7J
144,11Y
145,2K
146,12V
147,12S
148,2M
149,9M
150,5D
151,10P
152,8N
153,10D
154,7O
155,5B
156,3Y
157,2R
158,5X
159,8F
160,4Q
161,5Q
162,4M
163,1B
164,3N
165,6N
166,10E
167,11M
168,10P
169,3K
170,7V
171,3V
172,11L
173,2S
174,9K
175,11Q
176,11R
177,2X
178,4N
179,3K
180,1R
181,10N
182,7D
183,8J
184,11Z
185,5X
186,5E
187,7S
188,2A
189,11X
190,12J
191,12Y
192,4A
193,6A
194,3F
195,4R
196,1K
197,3G
198,10J
199,7H
200,6S
201,10D
202,5I
203,1N
204,9O
205,2C
206,4S
207,10J
208,6W
209,8X
210,5M
211,7Q
212,6N
213,3C
214,11T
215,5A
216,3F
217,8R
218,8Q
219,1K
220,3D
221,4R
222,10S
223,10D
224,4S
225,6T
226,6W
227,12F
228,11U
229,4O
230,4W
231,9R
232,11M
233,3I
234,4Z
235,4U
236,3D
237,8B
238,12N
239,9I
240,8P
241,9L
242,11W
243,2T
244,2E
245,7A
246,1F
247,6G
248,4R
249,2Z
250,3Q
251,11M
252,6I
253,12J
254,3E
255,12S
256,9W
257,2C
258,5V
259,6Q
260,8S
261,10Q
262,5R
263,8N
264,12Y
265,12J
266,9R
267,11Q
268,5M
269,2P
270,10E
271,5O
272,12P
273,8P
274,9G
275,12Y
276,3B
277,11I
278,5R
279,11P
280,9D
281,1V
282,10Q
283,7I
284,5X
285,9L
286,3E
287,1K
288,12V
289,6I
290,6U
291,2Y
292,12D
293,12O
294,2U
295,6H
296,3E
297,12E
298,11W
299,1I
300,1T
301,6K
302,2B
303,7P
304,10R
305,11T
306,2B
307,5D
308,5X
309,4P
310,4P
311,7S
312,5B
313,11K
314,3O
315,8A
316,5O
317,6A
318,10X
319,11T
320,3G
321,4U
322,10E
323,11X
324,9T
325,3F
326,2X
327,10B
328,8E
329,5M
330,7N
331,11K
332,9J
333,8X
334,8Z
335,12F
336,3F
337,11Y
338,9T
339,3G
340,1M
341,1U
342,10G
343,5W
344,12W
345,5D
346,12W
347,6Z
348,6O
349,11L
350,5P
351,4K
352,1X
353,6C
354,3D
355,12E
356,7S
357,1Z
358,7L
359,6O
360,10X
361,1B
362,8K
363,3I
364,1L
365,12V
366,11H
367,11D
368,4X
369,8L
370,4T
371,2F
372,2J
373,6E
374,11D
375,12K
376,7B
377,12L
378,1F
379,5L
380,11U
381,11S
382,3Z
383,6U
384,5R
385,4X
386,8G
387,12D
388,9E
389,6D
390,7T
391,11G
392,10Q
393,9U
394,10Z
395,12A
396,10Z
397,5R
398,5S
399,8O
400,10Y
401,9T
402,2N
403,11X
404,11S
405,5I
406,8T
407,2B
408,9F
409,12W
410,12D
411,9O
412,7R
413,6P
414,7B
415,2I
416,7K
417,7H
418,3O
419,1U
420,6E
421,11Q
422,10P
423,12V
424,10H
425,6X
426,7K
427,12H
428,7G
429,12M
430,2C
431,12O
432,11U
433,9R
434,3Q
435,5H
436,3B
437,7C
438,7M
439,12T
440,6U
441,1U
442,2E
443,5T
444,5I
445,10G
446,12N
447,8O
448,1X
449,7L
450,6C
451,7B
452,3N
453,9A
454,5F
455,7F
456,3W
457,4G
458,2U
459,6G
460,11A
461,3P
462,8S
463,2H
464,3O
465,11U
466,6U
467,10S
468,8D
469,3K
470,8W
471,1E
472,4X
473,9F
474,9A
475,1C
476,10A
477,2P
478,11C
479,1N
480,9J
481,1X
